#	subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment	examples
42	bcdm:collectors	bcdm:collectors	skos:exactMatch	iboleu:Collectors	iboleu:Collectors	semapv:ManualMappingCuration	2024-04-24								
43	bcdm:collection_date_start	bcdm:collection_date_start	skos:narrowMatch	iboleu:Collection Date	iboleu:Collection Date	semapv:ManualMappingCuration	2024-04-24								
44	bcdm:collection_date_end	bcdm:collection_date_end	skos:exactMatch	iboleu:Collection End Date	iboleu:Collection End Date	semapv:ManualMappingCuration	2024-04-24								
45	bcdm:collection_event_id	bcdm:collection_event_id	skos:exactMatch	iboleu:Collection Event ID	iboleu:Collection Event ID	semapv:ManualMappingCuration	2024-04-24								
46	bcdm:collection_time	bcdm:collection_time	skos:closeMatch	iboleu:Event Time	iboleu:Event Time	semapv:ManualMappingCuration	2024-04-24								
47	bcdm:collection_notes	bcdm:collection_notes	skos:exactMatch	iboleu:Collection Notes	iboleu:Collection Notes	semapv:ManualMappingCuration	2024-04-24								
48	bcdm:geoid	bcdm:geoid	notApplicable			semapv:ManualMappingCuration	2024-04-24								
49	bcdm:country/ocean	bcdm:country/ocean	skos:exactMatch	iboleu:Country/Ocean	iboleu:Country/Ocean	semapv:ManualMappingCuration	2024-04-24								
50	bcdm:country_iso	bcdm:country_iso	notApplicable			semapv:ManualMappingCuration	2024-04-24								
51	bcdm:province/state	bcdm:province/state	skos:exactMatch	iboleu:State/Province	iboleu:State/Province	semapv:ManualMappingCuration	2024-04-24								
52	bcdm:region	bcdm:region	skos:exactMatch	iboleu:Region	iboleu:Region	semapv:ManualMappingCuration	2024-04-24								
53	bcdm:sector	bcdm:sector	skos:exactMatch	iboleu:Sector	iboleu:Sector	semapv:ManualMappingCuration	2024-04-24								
54	bcdm:site	bcdm:site	skos:exactMatch	iboleu:Exact Site	iboleu:Exact Site	semapv:ManualMappingCuration	2024-04-24								
55	bcdm:site_code	bcdm:site_code	skos:exactMatch	iboleu:Site Code	iboleu:Site Code	semapv:ManualMappingCuration	2024-04-24								
56	bcdm:coord	bcdm:coord	skos:broadMatch	iboleu:Lat	iboleu:Lat	semapv:ManualMappingCuration	2024-04-24								
56	bcdm:coord	bcdm:coord	skos:broadMatch	iboleu:Long	iboleu:Long	semapv:ManualMappingCuration	2024-04-24								
57	bcdm:coord_accuracy	bcdm:coord_accuracy	skos:exactMatch	iboleu:Coordinate Accuracy	iboleu:Coordinate Accuracy	semapv:ManualMappingCuration	2024-04-24								
58	bcdm:coord_source	bcdm:coord_source	skos:exactMatch	iboleu:GPS source	iboleu:GPS source	semapv:ManualMappingCuration	2024-04-24								
59	bcdm:elev	bcdm:elev	skos:exactMatch	iboleu:Elev	iboleu:Elev	semapv:ManualMappingCuration	2024-04-24								
60	bcdm:elev_accuracy	bcdm:elev_accuracy	skos:closeMatch	iboleu:Elevation Precision	iboleu:Elevation Precision	semapv:ManualMappingCuration	2024-04-24								
61	bcdm:depth	bcdm:depth	skos:exactMatch	iboleu:Depth	iboleu:Depth	semapv:ManualMappingCuration	2024-04-24								
62	bcdm:depth_accuracy	bcdm:depth_accuracy	skos:closeMatch	iboleu:Depth Precision	iboleu:Depth Precision	semapv:ManualMappingCuration	2024-04-24								
63	bcdm:habitat	bcdm:habitat	skos:exactMatch	iboleu:Habitat	iboleu:Habitat	semapv:ManualMappingCuration	2024-04-24								
64	bcdm:sampling_protocol	bcdm:sampling_protocol	skos:exactMatch	iboleu:Sampling Protocol	iboleu:Sampling Protocol	semapv:ManualMappingCuration	2024-04-24								
65	bcdm:nuc	bcdm:nuc	notApplicable			semapv:ManualMappingCuration	2024-04-24								
66	bcdm:nuc_basecount	bcdm:nuc_basecount	notApplicable			semapv:ManualMappingCuration	2024-04-24								
67	bcdm:insdc_acs	bcdm:insdc_acs	notApplicable			semapv:ManualMappingCuration	2024-04-24								
68	bcdm:funding_src	bcdm:funding_src	notApplicable			semapv:ManualMappingCuration	2024-04-24								
69	bcdm:marker_code	bcdm:marker_code	notApplicable			semapv:ManualMappingCuration	2024-04-24								
70	bcdm:primers_forward	bcdm:primers_forward	notApplicable			semapv:ManualMappingCuration	2024-04-24								
71	bcdm:primers_reverse	bcdm:primers_reverse	notApplicable			semapv:ManualMappingCuration	2024-04-24								
72	bcdm:sequence_run_site	bcdm:sequence_run_site	notApplicable			semapv:ManualMappingCuration	2024-04-24								
73	bcdm:sequence_upload_date	bcdm:sequence_upload_date	notApplicable			semapv:ManualMappingCuration	2024-04-24								
74	bcdm:bold_recordset_code_arr	bcdm:bold_recordset_code_arr	notApplicable			semapv:ManualMappingCuration	2024-04-24								
75	bcdm:collection_date_accuracy	bcdm:collection_date_accuracy	notApplicable			semapv:ManualMappingCuration	2024-04-24								
						semapv:ManualMappingCuration	2024-04-24								
