subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
bcdm:elev_accuracy	bcdm:elev_accuracy	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:depth	bcdm:depth	skos:exactMatch	dwc:verbatimDepth	dwc:verbatimDepth	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:depth_accuracy	bcdm:depth_accuracy	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:habitat	bcdm:habitat	skos:exactMatch	dwc:habitat	dwc:habitat	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:sampling_protocol	bcdm:sampling_protocol	skos:exactMatch	dwc:samplingProtocol	dwc:samplingProtocol	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:nuc	bcdm:nuc	skos:exactMatch	dwc:dynamicProperties	dwc:dynamicProperties	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:nuc_basecount	bcdm:nuc_basecount	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:insdc_acs	bcdm:insdc_acs	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:funding_src	bcdm:funding_src	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:marker_code	bcdm:marker_code	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:primers_forward	bcdm:primers_forward	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:primers_reverse	bcdm:primers_reverse	skos:exactMatch	dwc:	dwc:	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:sequence_run_site	bcdm:sequence_run_site	skos:exactMatch	dwc:measurementDeterminedBy	dwc:measurementDeterminedBy	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:sequence_upload_date	bcdm:sequence_upload_date	skos:exactMatch	dwc:measurementDeterminedDate	dwc:measurementDeterminedDate	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
bcdm:recordset_code_arr	bcdm:recordset_code_arr	skos:exactMatch	dwc:datasetName	dwc:datasetName	semapv:ManualMappingCuration	2022-01-01	0000-1234-0000-1234	bcdm_bold_uri	1	https://dwc.tdwg.org/terms/	1	0.95	string default for bcdm coming from frictionless data
